t_utc,t_unix,t_sclk,t_tid,tid,orbit,focusmode,alt,mass,species,density_bins,quality
2015-02-11T21:55:24,1423691723.945285,476963701.832138,4814.353335,14934,717,csn,3.934181e+02,40,Ar,6.900000,IV
2015-02-11T21:55:20,1423691719.944355,476963697.831740,4810.353335,14934,717,csn,3.974701e+02,40,Ar,6.800000,IV
2015-02-11T21:55:08,1423691707.943283,476963685.830548,4798.353335,14934,717,csn,4.077047e+02,40,Ar,6.700000,IV
2015-02-11T21:54:54,1423691693.942363,476963671.829157,4784.353335,14934,717,csn,4.216063e+02,40,Ar,6.600000,IV
2015-02-11T21:59:00,1423691939.966825,476963917.853606,5030.353335,14934,717,csn,2.375727e+02,44,CO2,3.000000,IV
2015-02-11T21:59:08,1423691947.967775,476963925.854401,5038.353335,14934,717,csn,2.348068e+02,44,CO2,3.100000,IV
2015-02-11T21:59:18,1423691957.968401,476963935.855395,5048.353335,14934,717,csn,2.299138e+02,44,CO2,3.200000,IV
2015-02-11T21:59:22,1423691961.969265,476963939.855793,5052.353335,14934,717,csn,2.261817e+02,44,CO2,3.300000,IV
2015-02-11T21:59:24,1423691963.969202,476963941.855992,5054.353335,14934,717,csn,2.246053e+02,44,CO2,3.400000,IV
2015-02-11T21:59:26,1423691965.969176,476963943.856190,5056.353335,14934,717,csn,2.235620e+02,44,CO2,3.500000,IV
2015-02-11T21:59:30,1423691969.969862,476963947.856588,5060.353335,14934,717,csn,2.220088e+02,44,CO2,3.600000,IV
2015-02-11T21:59:32,1423691971.970330,476963949.856787,5062.353335,14934,717,csn,2.204671e+02,44,CO2,3.700000,IV
2015-02-11T21:59:34,1423691973.970158,476963951.856986,5064.353335,14934,717,csn,2.194471e+02,44,CO2,3.800000,IV
2015-02-11T21:59:38,1423691977.970819,476963955.857384,5068.353335,14934,717,csn,2.179288e+02,44,CO2,3.900000,IV
2015-02-11T21:59:42,1423691981.971188,476963959.857781,5072.353335,14934,717,csn,2.159238e+02,44,CO2,4.000000,IV
2015-02-11T21:59:44,1423691983.971205,476963961.857979,5074.353335,14934,717,csn,2.144346e+02,44,CO2,4.100000,IV
2015-02-11T21:59:48,1423691987.971436,476963965.858377,5078.353335,14934,717,csn,2.129602e+02,44,CO2,4.200000,IV
2015-02-11T21:59:52,1423691991.972237,476963969.858775,5082.353335,14934,717,csn,2.110138e+02,44,CO2,4.300000,IV
2015-02-11T22:00:00,1423691999.972905,476963977.859569,5090.353335,14934,717,csn,2.081415e+02,44,CO2,4.400000,IV
2015-02-11T22:00:32,1423692031.976277,476964009.862750,5122.353335,14934,717,csn,1.990509e+02,44,CO2,4.500000,IV
2015-02-11T22:00:36,1423692035.976147,476964013.863147,5126.353335,14934,717,csn,1.973987e+02,44,CO2,4.600000,IV
2015-02-11T22:00:38,1423692037.976541,476964015.863347,5128.353335,14934,717,csn,1.899260e+02,44,CO2,4.700000,IV
2015-02-11T22:00:40,1423692039.977013,476964017.863546,5130.353335,14934,717,csn,1.891023e+02,44,CO2,4.800000,IV
2015-02-11T22:00:42,1423692041.977166,476964019.863745,5132.353335,14934,717,csn,1.882847e+02,44,CO2,4.900000,IV
2015-02-11T22:00:46,1423692045.977100,476964023.864142,5136.353335,14934,717,csn,1.870705e+02,44,CO2,5.000000,IV
2015-02-11T22:00:50,1423692049.978263,476964027.864539,5140.353335,14934,717,csn,1.854719e+02,44,CO2,5.100000,IV
