PDS_VERSION_ID               = PDS3
RECORD_TYPE                  = STREAM


OBJECT                       = TEXT
  INTERCHANGE_FORMAT         = ASCII
  PUBLICATION_DATE           = 2026-03-17
  NOTE                       = "List of data related events altering REMS 
                               regular acquisition cadence"
END_OBJECT                   = TEXT
END

The following table contains a list of dates and times with events
that may have an impact in the REMS regular acquisition cadence of 5
minutes every hour (due to reasons such as rover maintenance, REMS
powered off to not to conflict with other activities, tests, etc).

As part of those events, this table also shows the sols in which REMS
sensor underwent the following maintenance activities: GTS
calibration, HS regeneration, HS defrosting and PS calibration.

This table also reflects Humidity Sensor on/off tests and the beginning
of nominal use of the HS HRIM measurement strategy (for which the
tests were performed). Refer to catalogs for an explanation of this
strategy.

|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|  631 | HS On/Off Test from 04:00 to 06:00     |     |       |         |     |
|  632 |                                        | X   |       |         |     |
|  633 |                                        | X   |       |         |     |
|  636 |                                        |     | X     |         |     |
|  646 | HS On/Off test from 04:00 to 06:05     |     | X     |         |     |
|  647 | Boom2/HS On/Off test from 04:00        |     |       |         |     |
|      | to 06:05                               |     |       |         |     |
|  656 |                                        |     | X     |         |     |
|  657 |                                        | X   |       |         |     |
|  659 |                                        | X   |       |         |     |
|  660 |                                        | X   |       |         |     |
|  661 |                                        | X   |       |         |     |
|  662 |                                        | X   |       |         |     |
|  663 |                                        | X   |       |         |     |
|  665 |                                        | X   |       |         |     |
|  666 |                                        | X   | X     |         |     |
|  667 |                                        | X   |       |         |     |
|  668 |                                        | X   |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
|  673 | Boom2/HS On/Off test from 00:00        |     |       |         |     |
|      | to 02:05                               |     |       |         |     |
|  676 |                                        |     | X     |         |     |
|  688 |                                        |     | X     |         |     |
|  697 | No data at 10:00                       |     |       |         |     |
|  699 | No data at 06:00, 07:00-11:00          |     |       |         |     |
|  700 |                                        |     | X     |         |     |
|  701 |                                        | X   |       |         |     |
|  702 |                                        | X   |       |         |     |
|  703 |                                        | X   |       |         |     |
|  704 |                                        | X   |       |         |     |
|  705 |                                        | X   |       |         |     |
|  707 |                                        | X   |       |         |     |
|  708 |                                        | X   |       |         |     |
|  709 |                                        | X   |       |         |     |
|  710 |                                        | X   | X     |         | X   |
|  711 |                                        | X   |       |         | X   |
|  719 | Boom2/HS  On/Off Test 04:00-06:00      |     |       |         |     |
|  720 | Boom2/HS  On/Off Test 04:00-05:00 and  |     | X     |         |     |
|      | 06:00-07:00                            |     |       |         |     |
|  721 | Boom2/HS  On/Off Test M05:00-07:00     |     |       |         |     |
|  723 | Boom2/HS  On/Off Test 00:00-02:00      |     |       |         |     |
|  724 | Boom2/HS  On/Off Test 00:00-01:00 and  |     |       |         |     |
|      | 02:00-03:00                            |     |       |         |     |
|  725 | Boom2/HS  On/Off Test 01:00-03:00      |     |       |         |     |
|  730 |                                        |     | X     |         |     |
|  740 |                                        |     | X     |         |     |
|  741 | HS test: 01:00-02:00 (Boom2 off+HS on) | X   |       |         |     |
|      | and 02:00-03:00 (Boom2 off+HS on/off)  |     |       |         |     |
|  742 |                                        | X   |       |         |     |
|  743 |                                        | X   |       |         |     |
|  744 |                                        | X   |       |         |     |
|  746 |                                        | X   |       |         |     |
|  747 |                                        | X   |       |         |     |
